County_Name,Project_Number,PointID,Elevation,Latitude83,Longitude83,Hole_Type,Bag_Number,LabID,AASHTO_Symbol,AASHTO_Group_Index,USCS_Symbol,USCS_Group_Name,Max_Dry_Density,Opt_Moisture_Content,Method,CBR,Liquid_Limit,Plastic_Limit,Plasticity_Index,Liquidity,Specific_Gravity,PF3,PF2,PF1,PF3_4,PF3_8,PF4,PF10,PF40,PF200,Pct_Clay,Pct_Colloid
Barren,R-017-2014,15,661.05,36.97,-85.93,cut profile,,With Gravel,A-6,(6),CL,LEAN CLAY with SAND,110.30,15.20,T99C,30.30,27.84,17.33,11.00,0.10,2.64,100.00,100.00,100.00,100.00,100.00,96.33,92.17,82.40,72.87,21.27,15.26
Barren,R-017-2014,15,661.05,36.97,-85.93,cut profile,,With Gravel,A-4,(4),CL,SANDY LEAN CLAY,112.10,14.60,T99C,17.10,26.92,17.13,10.00,-0.15,2.62,100.00,100.00,100.00,100.00,97.26,94.66,91.27,77.18,64.00,22.92,16.97
Barren,R-065-2007,B1 50,735.50,36.93,-85.82,cut profile,,With Gravel,A-6,(12),CL,LEAN CLAY with SAND,102.30,15.80,T99C_KYM,3.00,35.78,20.22,16.00,0.12,2.70,100.00,100.00,100.00,100.00,100.00,98.44,93.12,84.69,77.75,27.55,20.38
Barren,R-065-2007,B1 53,725.20,36.93,-85.81,cut profile,,With Gravel,A-6,(11),CL,LEAN CLAY with SAND,103.60,17.80,T99C_KYM,4.00,35.78,21.79,14.00,-0.47,2.72,100.00,100.00,100.00,99.99,99.99,99.99,99.98,87.54,80.58,26.67,19.15
Barren,R-065-2007,B1 55,718.10,36.93,-85.81,cut profile,,With Gravel,A-4,(4),CL,LEAN CLAY with SAND,109.50,15.30,T99C_KYM,5.70,28.81,20.60,8.00,0.52,2.68,100.00,100.00,100.00,100.00,98.87,94.08,79.43,76.17,71.35,11.73,7.33
Barren,R-065-2007,DSB 22,860.90,36.95,-85.85,cut profile,,With Gravel,A-7-6,(15),CL,LEAN CLAY with SAND,105.20,19.80,T99C_KYM,6.00,41.23,21.35,20.00,0.09,2.75,100.00,100.00,100.00,100.00,98.15,95.89,90.68,87.45,76.06,35.53,32.50
Barren,R-065-2007,DSB 27,856.10,36.95,-85.85,cut profile,,With Gravel,A-6,(10),CL,SANDY LEAN CLAY,109.80,16.80,T99C_KYM,2.90,38.29,17.43,21.00,0.17,2.78,100.00,100.00,100.00,100.00,99.68,98.73,96.55,85.65,62.35,30.88,25.07
Barren,R-065-2007,DSB 33,875.10,36.95,-85.84,cut profile,,With Gravel,A-7-6,(20),CL,LEAN CLAY with SAND,99.16,23.80,T99C_KYM,1.60,48.87,23.92,25.00,0.02,2.81,100.00,100.00,100.00,100.00,100.00,99.13,95.64,89.98,77.23,44.93,38.16
Barren,R-065-2007,DSB 43,759.80,36.94,-85.83,cut profile,,With Gravel,A-6,(10),CL,LEAN CLAY with SAND,103.40,19.80,T99C_KYM,7.20,36.99,21.48,16.00,-0.29,2.71,100.00,100.00,100.00,97.49,93.56,90.13,83.44,76.47,70.58,29.62,23.48
Barren,R-065-2007,DSB 50,736.30,36.94,-85.82,cut profile,,With Gravel,A-6,(7),CL,LEAN CLAY with SAND,108.90,16.00,T99C_KYM,3.50,30.60,19.17,12.00,0.08,2.67,100.00,100.00,100.00,100.00,100.00,97.64,80.37,74.02,70.31,21.53,19.38
Barren,R-065-2007,DSB 55,738.50,36.93,-85.82,cut profile,,With Gravel,A-6,(10),CL,SANDY LEAN CLAY,103.40,18.00,T99C_KYM,2.90,37.25,20.58,16.00,-0.09,2.75,100.00,100.00,100.00,100.00,98.01,94.92,87.94,76.59,68.71,25.31,20.68
Barren,R-065-2007,DSB 57,841.10,36.95,-85.84,cut profile,,With Gravel,A-7-6,(28),CH,FAT CLAY,98.91,22.30,T99C_KYM,1.30,51.67,22.22,30.00,-0.09,2.75,100.00,100.00,100.00,100.00,100.00,99.65,93.39,92.33,87.89,43.99,36.81
Barren,R-066-2007,DSB 103,793.80,36.90,-85.76,cut profile,,With Gravel,A-6,(3),SC,CLAYEY SAND,105.00,18.70,T99C_KYM,3.60,35.70,17.77,18.00,0.20,2.61,100.00,100.00,100.00,100.00,98.87,97.73,83.62,78.43,71.20,22.05,16.17
Barren,R-066-2007,DSB 106,788.00,36.90,-85.75,cut profile,,With Gravel,A-6,(2),SM,SILTY SAND,100.80,18.80,T99C_KYM,3.70,39.22,27.57,11.00,-0.24,2.63,100.00,100.00,100.00,98.35,95.38,91.53,81.78,70.40,62.61,12.61,6.47
Barren,R-066-2007,DSB 107,811.00,36.90,-85.75,cut profile,,With Gravel,A-6,(2),SC,CLAYEY SAND,103.00,18.10,T99C_KYM,5.00,36.81,23.70,13.00,0.03,2.66,100.00,100.00,100.00,100.00,99.17,98.41,95.25,86.87,78.17,13.41,7.43
Barren,R-066-2007,DSB 109,808.70,36.90,-85.75,cut profile,,With Gravel,A-6,(1),SC,CLAYEY SAND,106.60,15.80,T99C_KYM,1.40,32.86,22.11,11.00,-0.40,2.66,100.00,100.00,100.00,100.00,100.00,98.49,95.72,88.26,78.01,15.41,8.47
Barren,R-066-2007,DSB 113,800.00,36.89,-85.74,cut profile,,With Gravel,A-7-6,(5),SC,CLAYEY SAND,94.97,15.10,T99C_KYM,2.80,41.73,18.03,24.00,0.12,2.70,100.00,100.00,100.00,100.00,93.53,86.17,60.38,47.17,41.98,16.29,9.38
